-1451880718, -1451843864
-1448768312, -1448725199
-1445655908, -1445619051
-1442543502, -1442494135
-1439431098, -1439394246
-1436318693, -1436281840
-1433206290, -1433169437
-1430093885, -1430057033
-1426981485, -1426944627
-1423869079, -1423832219
-1420756671, -1420713561
-1417644267, -1417601157
-1414531864, -1414482493
-1411419459, -1411382602
-1408307058, -1408257686
-1405194650, -1405157793
-1402082244, -1402045391
-1398969843, -1398932986
-1395857435, -1395808065
-1392745030, -1392708181
-1389632629, -1389595772
-1386520226, -1386483372
-1383407820, -1383370963
-1380295416, -1380252304
-1377183009, -1377146156
-1374070604, -1374033751
-1370958205, -1370921351
-1367845801, -1367808944
-1364733393, -1364690282
-1361620986, -1361577879
-1358508585, -1358471732
-1355396178, -1355353068
-1352283773, -1352246920
-1349171377, -1349122003
-1346058971, -1346022111
-1342946564, -1342909707
-1339834158, -1339797307
-1336721759, -1336672385
-1333609348, -1333572494
-1330496946, -1330460089
-1327384543, -1327347686
-1324272136, -1324235282
-1321159733, -1321122876
-1318047326, -1318010473
-1314934922, -1314898068
-1311822521, -1311785667
-1308710120, -1308673260
-1305597710, -1305560856
-1302485308, -1302448451
-1299372901, -1299336048
-1296260497, -1296223647
-1293148097, -1293111240
-1290035689, -1289998835
-1286923287, -1286873915
-1283810878, -1283774025
-1280698479, -1280661619
-1277586073, -1277549219
-1274473666, -1274436818
-1271361265, -1271311894
-1268248859, -1268212006
-1265136458, -1265099603
-1262024049, -1261968425
-1258911644, -1258874791
-1255799241, -1255762387
-1252686840, -1252649986
-1249574437, -1249537579
-1246462027, -1246425179
-1243349630, -1243312772
-1240237221, -1240187855
-1237124821, -1237087961
-1234012410, -1233975556
-1230900009, -1230850638
-1227787602, -1227738231
-1224675194, -1224638346
-1221562792, -1221519679
-1218450389, -1218413536
-1215337986, -1215288615
-1212225579, -1212176213
-1209113177, -1209076324
-1206000774, -1205963920
-1202888367, -1202838997
-1199775961, -1199739108
-1196663558, -1196601670
-1193551150, -1193514303
-1190438752, -1190395639
-1187326346, -1187289488
-1184213940, -1184177086
-1181101537, -1181064684
-1177989134, -1177952280
-1174876727, -1174839873
-1171764325, -1171727471
-1168651923, -1168615066
-1165539516, -1165490149
-1162427110, -1162390257
-1159314706, -1159277853
-1156202303, -1156165450
-1153089900, -1153046789
-1149977491, -1149940645
-1146865093, -1146828239
-1143752687, -1143703319
-1140640279, -1140597169
-1137527877, -1137491024
-1134415479, -1134378622
-1131303070, -1131266217
-1128190664, -1128153811
-1125078263, -1125041406
-1121965858, -1121916490
-1118853452, -1118816599
-1115741048, -1115704195
-1112628648, -1112579273
-1109516243, -1109479389
-1106403839, -1106360727
-1103291430, -1103254577
-1100179026, -1100142172
-1097066628, -1097029768
-1093954224, -1093917366
-1090841815, -1090804962
-1087729415, -1087692555
-1084617009, -1084567634
-1081504599, -1081461489
-1078392197, -1078355346
-1075279798, -1075249198
-1072167393, -1072130535
-1069054985, -1069018134
-1065942583, -1065893213
-1062830177, -1062793320
-1059717772, -1059674661
-1056605365, -1056544230
-1053492963, -1053456110
-1050380564, -1050331188
-1047268153, -1047231299
-1044155751, -1044118898
-1041043347, -1040982207
-1037930945, -1037881570
-1034818538, -1034781688
-1031706135, -1031656766
-1028593731, -1028556877
-1025481326, -1025444466
-1022368919, -1022332066
-1019256517, -1019207147
-1016144114, -1016107257
-1013031705, -1012976084
-1009919303, -1009882450
-1006806903, -1006770043
-1003694495, -1003657642
-1000582090, -1000532719
-997469683, -997432830
-994357285, -994320425
-991244882, -991195506
-988132475, -988095622
-985020072, -984983215
-981907671, -981870811
-978795259, -978758405
-975682861, -975639746
-972570456, -972533599
-969458048, -969421195
-966345644, -966284506
-963233247, -963190125
-960120835, -960065210
-957008429, -956965319
-953896032, -953846660
-950783626, -950746766
-947671220, -947634366
-944558814, -944521960
-941446409, -941409556
-938334004, -938297151
-935221606, -935184752
-932109203, -932059827
-928996791, -928959938
-925884390, -925847533
-922771985, -922722617
-919659581, -919622727
-916547174, -916510321
-913434771, -913397917
-910322366, -910285512
-907209964, -907160593
-904097555, -904048191
-900985155, -900948302
-897872751, -897835899
-894760349, -894710978
-891647943, -891611089
-888535542, -888498682
-885423136, -885373767
-882310729, -882273876
-879198323, -879148959
-876085920, -876036552
-872973514, -872936667
-869861114, -869824261
-866748712, -866711858
-863636306, -863586938
-860523897, -860487044
-857411496, -857374643
-854299090, -854249719
-851186686, -851149835
-848074285, -848037431
-844961882, -844925029
-841849479, -841800103
-838737069, -838700216
-835624666, -835587813
-832512267, -832451124
-829399861, -829363002
-826287453, -826244341
-823175048, -823119421
-820062645, -820007016
-816950244, -816913384
-813837836, -813800983
-810725438, -810669807
-807613024, -807576177
-804500624, -804457512
-801388218, -801338848
-798275813, -798238959
-795163409, -795114042
-792051006, -792007896
-788938605, -788895493
-785826203, -785789344
-782713795, -782676942
-779601391, -779564539
-776488986, -776452133
-773376582, -773339729
-770264176, -770227323
-767151777, -767114920
-764039368, -764002515
-760926968, -760890111
-757814563, -757765188
-754702155, -754665302
-751589751, -751552898
-748477346, -748427979
-745364948, -745328088
-742252540, -742209430
-739140134, -739084510
-736027734, -735984616
-732915326, -732865963
-729802924, -729766071
-726690523, -726647405
-723578115, -723541258
-720465712, -720428858
-717353308, -717316454
-714240901, -714204048
-711128502, -711091644
-708016097, -707979240
-704903691, -704866837
-701791287, -701754436
-698678882, -698629511
